"Date","Price","Open","High","Low","Vol.","Change %"
"01-02-2003","41.74","41.67","42.56","37.78","19.23M","1.29%"
"01-01-2003","41.21","39.05","43.21","38.67","36.78M","5.88%"
"01-12-2002","38.92","39.41","41.76","38.61","15.66M","-0.74%"
"01-11-2002","39.21","42.33","45.56","37.64","38.36M","-6.67%"
"01-10-2002","42.01","37.89","43.56","37.33","32.41M","10.79%"
"01-09-2002","37.92","39.64","42.71","37.17","28.45M","-3.54%"
"01-08-2002","39.31","39.11","42.50","37.33","48.59M","3.39%"
"01-07-2002","38.02","36.58","41.99","36.13","69.72M","4.71%"
"01-06-2002","36.31","36.67","39.44","35.44","40.50M","2.31%"
"01-05-2002","35.49","38.91","46.21","33.77","203.74M","-7.17%"
"01-04-2002","38.23","31.08","42.60","31.08","254.73M","25.26%"
"01-03-2002","30.52","24.22","31.73","23.78","32.32M","23.01%"
"01-02-2002","24.81","16.67","28.78","16.11","46.84M","54.10%"
"01-01-2002","16.10","15.13","17.32","14.78","2.80M","6.62%"
"01-12-2001","15.10","15.79","16.33","14.36","752.91K","-5.68%"
"01-11-2001","16.01","15.56","17.19","15.44","1.31M","2.83%"
"01-10-2001","15.57","15.00","15.89","14.44","668.65K","3.73%"
"01-09-2001","15.01","16.55","17.56","13.33","659.63K","-9.90%"
"01-08-2001","16.66","18.28","18.49","15.56","1.69M","-10.14%"
"01-07-2001","18.54","15.84","20.00","15.56","1.26M","7.17%"
"01-06-2001","17.30","16.66","20.44","16.06","6.45M","5.49%"
"01-05-2001","16.40","15.36","17.09","14.89","2.78M","7.05%"
"01-04-2001","15.32","13.79","16.04","13.44","2.15M","3.93%"
"01-03-2001","14.74","16.43","17.67","13.56","4.86M","-7.64%"
"01-02-2001","15.96","15.44","18.67","15.11","10.63M","1.85%"
"01-01-2001","15.67","13.61","16.39","12.81","8.22M","17.64%"
"01-12-2000","13.32","12.23","15.00","12.23","5.44M","6.30%"
"01-11-2000","12.53","12.22","13.27","11.47","3.97M","8.02%"
"01-10-2000","11.60","11.89","12.06","10.91","2.32M","-2.03%"
"01-09-2000","11.84","12.69","13.56","11.79","2.65M","-6.92%"
"01-08-2000","12.72","14.87","15.00","11.78","3.74M","-15.59%"
